username,total_pr_cnt
marcelbeumer,50
feng,2
bertschneider,20
Moredread,191
zorab47,53
fasterthanlime,96
malcolmreynolds,21
tbostelmann,1
jaquer,8
matrixise,345
kailuowang,981
alpe,333
JustinAzoff,119
honr,2
rds,2
lucasdemarchi,432
pgib,89
ihh,26
opn,1
kevinweil,1
wpdavenport,4
buffpojken,24
keikun17,29
mandrake,3
Auswaschbar,2
felixge,102
gregplaysguitar,57
ginatrapani,88
ThisIsMissEm,112
sunlifeng,1
lachlan,25
adaptee,26
mithro,1209
malomalo,25
magcius,290
tdd,138
hron,66
dstnbrkr,68
bandito,5
mdawaffe,106
benschwarz,163
programmerq,34
martinrehfeld,41
cch1,12
bluephlame,6
surlykke,4
al3x,27
tapin13,9
bryanchow,12
ockham,1184
thiagoarrais,165
crchondrite,12
robbevan,11
stedolan,171
wouterla,11
zohararad,12
hanamura,97
qoobaa,104
nzjrs,49
Satyam,71
rasjani,121
xer0x,17
unak,103
tito,136
ericgoodwin,7
ScatteredRay,14
kuahyeow,61
evilmachina,1
weiyin,5
robertbrook,14
pepe,197
ckwalsh,19
Chouser,26
arianepaola,35
NeilW,36
nathanj,19
Menda,181
pioto,34
sherpya,51
mitchellh,787
samlown,17
kegan,3
jqueralt,1
dcrosta,156
mtrudel,40
eml,7
zyll,10
openWebX,7
rishav,6
nitsujw,2
htmiguel,1
kdoya,1
Anks,16
artemv,328
normanr,25
jameswhite,77
greenmanspirit,15
thiagobfiorenza,25
cartuchogl,22
wayneeseguin,48
jerrett,9
gardenia,17
kenjitayama,19
bb,34
Twey,61
cyberfox,11
betamatt,87
aboisvert,11
sirhc,2
troelskn,59
chrkau,3
vilts,1
bhunter,1
endrec,49
davidad,9
ledil,4
DanielHeath,475
edson,1
nicholas-gh,8
jtanium,6
sebp,48
graywh,45
ppeszko,5
francois2metz,724
jfding,9
royw,13
henux,1
erh,9
vrish88,20
